"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:DEFAULT","Where is my passport? ; My passport? ; Passport? ; What is this slip? Where is passport?","Pasaportum nerede? ; Pasaportum? ; Pasaport? ; Bu kağıt da ne? Pasaportum nerede?"
"traveler:DEFAULT","@It is being confiscated.","@Müsadere altına alındı."
"traveler:DEFAULT","How will I travel? ; What should I do? ; Why? ; You cannot do this.","Peki ben nasıl gezeceğim? ; Ne yapmam lazım? ; Neden? ; Bunu yapamazsın."
"traveler:DEFAULT","@Contact number on slip.","@Kağıttaki numarayı ara."
"traveler:EZIC_INTRO","The Order awaits.","Tarikat hazır."
"traveler:EZIC_CORMAN","Very good.","Güzel."
"traveler:EZIC_CORMAN","Read quickly.","Çabuk oku."
"traveler:EZIC_CORMAN","Do not lose this.","Bunu kaybetme."
"traveler:EZIC_CORMAN","You have something of mine.","Sende bana ait bir şey var."
"traveler:EZIC_CORMAN","My name is Corman Drex.","Adım Corman Drex."
"traveler:EZIC_CORMAN","Read the note then return it to me.","Notu oku ve bana ver."
"traveler:EZIC_HANDLER_PRE0","Our agents are ready.","Ajanlarımız hazır."
"traveler:EZIC_HANDLER_PRE0","Starting tomorrow.","Yarın başlayacaklar."
"traveler:EZIC_HANDLER_PRE0","Let them pass.","Geçmelerine izin ver."
"traveler:EZIC_AGENT0","The Order rises.","Tarikat büyüyor."
"traveler:EZIC_AGENT0","The Order knows.","Tarikat biliyor."
"traveler:EZIC_AGENT1","For Arstotzka and the Order.","Arstotzka ve Tarikatımız için."
"traveler:EZIC_HANDLER_POST1","Give me the coded documents.","Şifreli belgeleri bana ver."
"traveler:EZIC_HANDLER_POST1","Both.","Hepsini."
"traveler:EZIC_HANDLER_EXT","Today.","Bugün."
"traveler:EZIC_AGENT_EXT","For Arstotzka and the Order.","Arstotzka ve Tarikatımız için."
"traveler:EZIC_AGENT_EXT","The others do not agree, but I believe the man in red is not a threat.","Diğerleri kabul etmiyor ama bence kırmızılı adam şüpheli değil."
"traveler:EZIC_AGENT_EXT","@What?","@Ne?"
"traveler:EZIC_AGENT_EXT","Nevermind.","Boşver."
"traveler:EZIC_HANDLER_SNIPE","Shoot to kill.","Öldür."
"traveler:EZIC_DIPLO","I require my passport.","Pasaportumu istiyorum."
"traveler:EZIC_DIPLO","@It has been confiscated.","@El koyuldu."
"traveler:EZIC_DIPLO","I am Kolechian diplomat here on government request.","Ben devletin çağrısı üzerine gelen Kolechialı diplomatım."
"traveler:EZIC_DIPLO","Return passport at once.","Derhal pasaportumu ver."
"traveler:EZIC_DIPLO","@Call number on slip to recover.","@Almak için kağıttaki numarayı ara."
"traveler:EZIC_DIPLO","Barbarian.","Şerefsiz."
"traveler:EZIC_DIPLO","You cannot do this.","Bunu yapamazsın."
"traveler:EZIC_DIPLO_FOLLOW","I saw him enter.","Girdiğini gördüm."
"traveler:EZIC_DIPLO_FOLLOW","Give his passport to me.","Pasaportunu bana ver."
"traveler:EZIC_DIPLO_FOLLOW","Ah good.","Güzel."
"traveler:EZIC_DIPLO_FOLLOW","I look much the same as him.","Ona çok benziyorum."
"traveler:EZIC_DIPLO_FOLLOW","Just need to shave my mustache.","Sadece bıyığımı kesmeliyim."
"traveler:EZIC_DIPLO_FOLLOW","But we all must make sacrifices.","Hepimiz fedakarlıklar yapmalıyız."
"traveler:EZIC_DIPLO_FOLLOW","Appove the visa.","Vizeyi onayla."
"traveler:EZIC_DIPLO_FOLLOW","For Arstotzka and the Order.","Arstotzka ve Tarikat için."
"traveler:EZIC_DIPLO_FOLLOW","This is not what was agreed on.","Böyle anlaşmamıştık."
"traveler:EZIC_DIPLO_FOLLOW","I am sent to collect diplomat's passport.","Diplomatın pasaportunu almaya geldim."
"traveler:EZIC_DIPLO_FOLLOW","@I do not have it.","@Bende değil."
"traveler:SECRET_POLICE_INTRO","Good morning, inspector.","Günaydın memur bey."
"traveler:SECRET_POLICE_INTRO","You are healthy today yes?","Bugün iyisindir umarım?"
"traveler:SECRET_POLICE_INTRO","I have just few questions for you.","Sana bazı sorularım var."
"traveler:SECRET_POLICE_INTRO","There was problem at Metro last night.","Geçen gece metroda bir sorun çıktı."
"traveler:SECRET_POLICE_INTRO","Maybe you read about it in paper.","Belki gazetede görmüşsündür."
"traveler:SECRET_POLICE_INTRO","Is very big news.","Büyük bir haberdi."
"traveler:SECRET_POLICE_INTRO","We think it is not accident.","Bunun bir kaza olmadığını düşünüyoruz."
"traveler:SECRET_POLICE_INTRO","We think it is caused by suspicious group.","Bizce bir grup tarafından gerçekleştirildi."
"traveler:SECRET_POLICE_INTRO","We think some members pass through this checkpoint.","Üyelerinin bu sınırdan geçtiğini düşünüyoruz."
"traveler:SECRET_POLICE_INTRO","So we come talk to you.","Bu yüzden sana geldik."
"traveler:SECRET_POLICE_INTRO","Have you seen anything like this?","Böyle bir şey gördün mü?"
"traveler:SECRET_POLICE_INTRO","Is some kind of symbol for group.","Bunun gibi bir sembolü olan bir grup."
"traveler:SECRET_POLICE_INTRO","If you have any information, you give to us yes?","Herhangi bir bilgin olursa bizimle paylaşırsın değil mi?"
"traveler:SECRET_POLICE_INTRO","Yes?","Değil mi?"
"traveler:SECRET_POLICE_INTRO","@Yes.","@Evet."
"traveler:SECRET_POLICE_INTRO","Very good.","Güzel."
"traveler:SECRET_POLICE_INTRO","Please return my badge and paper.","Rozetimi ve kağıdı geri ver."
"traveler:SECRET_POLICE_INTRO","We think suspicious group attempts to stir trouble.","Bu grubun daha fazla sorun çıkartacağını düşünüyoruz."
"traveler:SECRET_POLICE_INTRO","We think some members enter this checkpoint.","Üyelerinin bu sınırdan geçtiğini düşünüyoruz."
"traveler:SECRET_POLICE_INTRO","What is this?","Bu da ne?"
"traveler:SECRET_POLICE_INTRO","Interesting.","Ilginç."
"traveler:SECRET_POLICE_INTRO","Yes, very interesting.","Evet, çok ilginç."
"traveler:SECRET_POLICE_INTRO","I think it is best if you come with me.","Sanırım en iyisi benimle gelmen."
"traveler:SECRET_POLICE_INTRO","This group is very dangerous.","Bu grup çok tehlikeli."
"traveler:SECRET_POLICE_INTRO","If you see any curious thing, report immediately.","Eğer değişik bir şey görürsen hemen bildir."
"traveler:SECRET_POLICE_CAUGHT","Hello inspector.","Merhaba memur bey."
"traveler:SECRET_POLICE_CAUGHT","There is small discrepancy with your finances.","Hesabında ufak bir uyuşmazlık görüldü."
"traveler:SECRET_POLICE_CAUGHT","The Ministry of Income was thoughtful enough to notify us.","Maliye Bakanı düşünceli bir hareket yaparak bizi uyardı."
"traveler:SECRET_POLICE_CAUGHT","It is best if you come with me.","Benimle gel."
"traveler:SECRET_POLICE_FINAL","Inspector.","Memur Bey."
"traveler:SECRET_POLICE_FINAL","It has been some time.","Uzun zaman oldu."
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.","Bugünkü bülteni dikkatlice oku."
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.","Birçok memurla konuşuyoruz."
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.","Denetimin yaklaşıyor."
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.","Bizzat ben yöneteceğim."
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.","Korkacak hiçbir şey yok."
"traveler:SECRET_POLICE_FINAL","Work hard.","Çok çalış."
"traveler:JORJI_BASE","All right! You the best!","Evet! Sen en iyisisin!"
"traveler:JORJI_BASE","Arstotzka the best!","Arstotzka süper!"
"traveler:JORJI_BASE","Here, take this!","Işte, al!"
"traveler:JORJI0","Ok! Here we go!","Pekala! Hadi bakalım!"
"traveler:JORJI0","Glory to Arstotzka!","Yaşasın Arstotzka!"
"traveler:JORJI0","The greatest country!","En iyi ülke!"
"traveler:JORJI0","@Where is your passport?","@Pasaportun nerede?"
"traveler:JORJI0","Passport!","Pasaport!"
"traveler:JORJI0","Arstotzka so great, passport not required.","Arstotzka o kadar iyi ki pasaporta gerek yok."
"traveler:JORJI0","Right?","Değil mi?"
"traveler:JORJI0","@A passport is required.","@Pasaport kesinlikle gerekli."
"traveler:JORJI0","Ok, ok. I hear you.","Peki peki, anladım."
"traveler:JORJI0","I come back again.","Yine geleceğim."
"traveler:JORJI1","Ok! Hello again!","Evet! Tekrar merhaba!"
"traveler:JORJI1","Now I have passport!","Artık pasaportum var!"
"traveler:JORJI1","Arstotzka still best country for sure!","Arstotzka kesinlikle hala çok iyi bir ülke!"
"traveler:JORJI1","@This passport is crude fake.","@Bu pasaport sahte."
"traveler:JORJI1","Hey now! Is not true!","Sen neyden bahsediyorsun? Hiç de bile!"
"traveler:JORJI1","Is pre-approved!","Önceden geçiş kabulü aldı!"
"traveler:JORJI1","@ Cobrastan is not a real country.","@ Cobrastan diye bir ülke yok."
"traveler:JORJI1","Ok, ok.","Pekala, pekala."
"traveler:JORJI1","You no like passport, I understand.","Sen pasaportu beğenmemek, ben anlamak."
"traveler:JORJI1","I come back again with better one.","Daha iyisiyle döneceğim."
"traveler:JORJI2","Old friend hello!","Merhaba eski dostum!"
"traveler:JORJI2","I am back again!","Yine geldim!"
"traveler:JORJI2","This time everything set.","Bu sefer her şey hazır."
"traveler:JORJI2","@You are missing an entry permit.","@Giriş iznin eksik."
"traveler:JORJI2","Oh man you funny guy!","Güzel espri adamım!"
"traveler:JORJI2","@An entry permit is required.","@Giriş izni lazım."
"traveler:JORJI2","Wow, you run very strict border here.","Vay be burayı oldukça sıkı işletiyorsun."
"traveler:JORJI2","That is good. Do job right.","Güzel güzel. Işini doğru yap."
"traveler:JORJI2","I look for entry thing and come back.","Giriş şeysini alıp yine geleceğim."
"traveler:JORJI3","Hey it is me!","Selam yine ben!"
"traveler:JORJI3","Are you happy to see?","Beni gördüğüne sevindin mi?"
"traveler:JORJI3","I have everything you ask for now.","Istediğin her şeyi getirdim."
"traveler:JORJI3","@Tickets are no longer accepted.","@Biletler artık kabul edilmiyor."
"traveler:JORJI3","Hey no!","Hayır olamaz!"
"traveler:JORJI3","Guy sold me ticket. Say is good!","Bileti adamın biri sattı, geçerli dedi!"
"traveler:JORJI3","You check again maybe.","Tekrar kontrol etsen?"
"traveler:JORJI3","@Do not come back again.","@Buraya bir daha gelme."
"traveler:JORJI3","Haha!","Haha!"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","Iyi birisin fakat Arstotzka'da işim var."
"traveler:JORJI3","I get right papers and come see you.","Doğru belgelerle tekrar geleceğim."
"traveler:JORJI4","Hello my guy!","Merhaba adamım!"
"traveler:JORJI4","Ok. Today is day!","Pekala, bu gün o gün!"
"traveler:JORJI4","Look at all good papers.","Bak, tüm belgeler tamam."
"traveler:JORJI4","Was not easy.","Bu hiç kolay olmadı."
"traveler:JORJI4","Or cheap! Haha!","Ucuz da değildi! Haha!"
"traveler:JORJI4","@I told you not to come back.","@Sana bir daha gelme demiştim."
"traveler:JORJI4","This is crap.","Hadi lan oradan."
"traveler:JORJI4","You know what? Forget it.","Neyse boşver."
"traveler:JORJI4","Arstotzka worst country.","Arstotzka en kötü ülke."
"traveler:JORJI4","You worst person.","Sen de çok kötüsün."
"traveler:JORJI4","Thank you so much!","Sağol yani!"
"traveler:JORJI4","If I am honest to you, I was little nervous.","Dürüst olmam gerekirse biraz heyecanlıydım."
"traveler:JORJI4","Even with right papers is hard to say.","Doğru belgelerle bile zor."
"traveler:JORJI4","Ok bye!","Hoşçakal!"
"traveler:JORJI_SMUGGLE0","Again I am here!","Tekrar ben!"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","Her şeyi ayarladım."
"traveler:JORJI_SMUGGLE0","I come through often to see you.","Burayı sıkça seni görmeye geldim."
"traveler:JORJI_SMUGGLE0","We become good friends!","Iyi birer dost olduk!"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@Kilon farklı."
"traveler:JORJI_SMUGGLE0","Is sad story.","Hiç sorma."
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","Eşim mutfakta çok kötü."
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","Yemezsem de sinirleniyor."
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","Ya da, belki bunu sevmeyeceksin!"
"traveler:JORJI_SMUGGLE0","@What is this?","@Bu da ne?"
"traveler:JORJI_SMUGGLE0","Is drugs!","Uyuşturucu!"
"traveler:JORJI_SMUGGLE0","I have little side business here.","Burada ufak bir işe giriştim."
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","Geçmeme izin ve ben de sana bir şeyler vereyim."
"traveler:JORJI_SMUGGLE0","@Something what?","@Ne vereceksin?"
"traveler:JORJI_SMUGGLE0","Ten credits.","On kredi."
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","Geçmeme izin verirsen on kredi veririm."
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@Burada bekle Jorji."
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","Pekala, anladım."
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","Uyuşturucu kötü. Çocuklara zararlı."
"traveler:JORJI_SMUGGLE0","You do great work here still.","Hakkını vererek çalışıyorsun."
"traveler:JORJI_SMUGGLE0","Ok!","Pekala!"
"traveler:JORJI_SMUGGLE0","We go full speed!","Hızlanalım!"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","Hey sorun ne?"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@Sana güvenmiyorum."
"traveler:JORJI_SMUGGLE0","Ok, ok.","Pekala, pekala."
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","Sen iyi birisin, bir dahaki sefere güvenini kazanacağım."
"traveler:JORJI_SMUGGLE1","Ok, I am back!","Pekala, döndüm!"
"traveler:JORJI_SMUGGLE1","Same procedure!","Aynı prosedürler!"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","Bunun zor olduğunu söylediler."
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","Şimdiye kadar her şey jilet gibi!"
"traveler:JORJI_SMUGGLE1","Thanks to you!","Senin sayende!"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","Eşine onu mutlu edecek bir şey al."
"traveler:JORJI_SMUGGLE1","Phew!","Aman!"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","Bu biraz zordu. Şanslıyım ki güvenliği kolayca alt ettim."
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","Çok para istedi ama hakkıydı."
"traveler:JORJI_SMUGGLE1","Oh man, again!","Eyvah yine o!"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","O güvenlik yine güzel bir gün geçirecek."
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","Satış yapmadan buna devam edebileceğimden emin değilim!"
"traveler:JORJI_SMUGGLE1","Ok, we try again!","Pekala, baştan başlayalım!"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","Rahatsız ettiğim için üzgünüm ama bu benim tek kazancım."
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@Burada bekle Jorji."
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","Pekala, anlıyorum."
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","Uyuşturucu kötü. Çocuklara zararlı."
"traveler:JORJI_SMUGGLE1","You do great work here still.","Burada hala hakkını vererek çalışıyorsun."
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@Burada bir farklılık görüyorum."
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","Gerçekten hayret verici."
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","Belki burada her şey çok ateşlidir."
"traveler:JORJI_SMUGGLE1","@Drugs?","@Uyuşturucu mu?"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","Kaliteli görünüyor değil mi?"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","Bekle! Geçmeme izin verirsen on kredi veririm!"
"traveler:JORJI_SMUGGLE1","Think about family!","Aileni düşün!"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","Bu parayla onlara güzel şeyler alabilirsin."
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","Alt tarafı zararsız uyuşturucular!"
"traveler:JORJI_SMUGGLE1","This much better, see?","Böyle daha iyi, değil mi?"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","Vay be gerçekten komik adamsın."
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","Düşününce, belki benim için de iyi değildir."
"traveler:JORJI_CRIMINAL","Is good to see you again!","Seni tekrar görmek çok güzel!"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","Bugün ziyarete geldim."
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","Her şey benim açımdan iyi gidiyor."
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","Kesinlikle arananlar listesinde falan değilim!"
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@Arananlar listesinde resmin var."
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","Ne! Polise tonla para verdim!"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","Listeye girmeyeceğimi, her şeyi hallettiklerini söylediler."
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","Dost canlısı insanlar güvenmeden önce iki kere düşüneceğim."
"traveler:JORJI_CRIMINAL","Hey I really like you.","Bak seni gerçekten sevdim."
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","Biliyorum bana bu halde yardım etmek çok riskli."
"traveler:JORJI_CRIMINAL","I try to make it up for you.","Ama telafi edeceğim."
"traveler:JORJI_CRIMINAL","Ah, is ok.","Ah, pekala."
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","En azından beni tutuklatmadın."
"traveler:JORJI_CRIMINAL","Thanks anyways.","Yine de teşekkürler."
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@Üzgünüm Jorji."
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","Sorun değil. Çoğu polis artık beni tanıyor."
"traveler:JORJI_CRIMINAL","I have little talk with them again.","Onlarla ufak bir konuşma yaparım."
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","Neyse, senin işin de zor."
"traveler:JORJI_CRIMINAL","I rather sell drugs!","Uyuşturucu satarım daha iyi!"
"traveler:JORJI_PASSPORTS","I read newspaper.","Haberleri gördüm"
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@Merhaba Jorji."
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","Arstotzka'da işler çığırından çıkıyor."
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","Belki bir süre buradan uzaklaşmak istersin."
"traveler:JORJI_PASSPORTS","Obristan is good place.","Obristan iyi bir yer."
"traveler:JORJI_PASSPORTS","Right next door up north.","Kuzeyde sınıra yakın."
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@Pasaportlarımıza el koyuldu."
"traveler:JORJI_PASSPORTS","@We cannot leave.","@Buradan ayrılamayız."
"traveler:JORJI_PASSPORTS","Hey that not good sign.","Bak bu hiç iyi değil."
"traveler:JORJI_PASSPORTS","Hold on.","Bir dakika."
"traveler:JORJI_PASSPORTS","I know a guy.","Birini tanıyorum."
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","Ona sadece üzerinde çalışabilmesi için orijinal pasaportlar ver."
"traveler:JORJI_PASSPORTS","He changes info to match for you.","Bilgileri sana uygun hale getirir."
"traveler:JORJI_PASSPORTS","I learn that in hard way.","Ben zor yoldan çözdüm bu işi."
"traveler:JORJI_PASSPORTS","Thanks again!","Tekrar teşekkürler!"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","Eh! Belki de haklısın."
"traveler:JORJI_PASSPORTS","Better to take little break.","Biraz mola vermek iyi olur."
"traveler:JORJI_PASSPORTS","Hey what the hell?","Hop napıyorsun?"
"traveler:JORJI_PASSPORTS","You take my passport!","Pasaportumu aldın!"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","Ona bir servet harcadım!"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@Orijinal Obristan pasaportuna ihtiyacın var dedin."
"traveler:JORJI_PASSPORTS","Man. Fine.","Iyi be."
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","Başka alırım ama beni üzdün."
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","Broşürdekileri aklında tut ve geri ver."
"traveler:JORJI_PASSPORTS","Hey you know what.","Aslında biliyor musun."
"traveler:JORJI_PASSPORTS","Take my passport.","Pasaportum sende kalsın."
"traveler:JORJI_PASSPORTS","I get another one no problem.","Bir tane daha yaptırırım, sorun değil."
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","Şu broşürdekileri aklında tut ve geri ver."
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","Başım belaya girsin istemem!"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","Obristan bu zamanlar çok güzeldir."
"traveler:JORJI_PASSPORTS","Lots of snow.","Her yerde kar."
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","Ailen için daha başka pasaport nereden bulabilirsin bilmiyorum."
"traveler:JORJI_PASSPORTS","But you smart guy.","Ama sen akıllı adamsın."
"traveler:JORJI_PASSPORTS","Probably figure it out!","Bir yolunu bulursun!"
"traveler:JORJI_PASSPORTS","Good luck.","Kolay gelsin."
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","Heyt Be! Bu sefer turnayı gözünden vurdum!"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","Mükemmel! Tahmin bile edemezsin!"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","Neyse. Sadece sana teşekkür etmek istedim."
"traveler:JORJI_GOODBYE","I wait in line just for that!","Sırf bunun için sıraya girdim!"
"traveler:JORJI_GOODBYE","Maybe I quit now.","Belki şimdi de çıkarım."
"traveler:JORJI_GOODBYE","Haha!","Haha!"
"traveler:BROTHEL0","Hello handsome.","Selam yakışıklı"
"traveler:BROTHEL0","You look bored.","Sıkılmış gibisin."
"traveler:BROTHEL0","If you want good time, come see us.","Eğlenceli vakit geçirmek istersen bize uğra."
"traveler:BROTHEL0","I will be around couple months.","Birkaç ay buralarda olacağım."
"traveler:BROTHEL0","Don't forget to visit.","Uğramayı unutma."
"traveler:BROTHEL1","Hey there.","Selam tatlım."
"traveler:BROTHEL1","I can make you happy any time.","Istediğin zaman seni neşelendiririm."
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","Pink Vice'a gel. Ava'yı sor."
"traveler:BROTHEL2","Oh. Here.","Ah. Işte."
"traveler:BROTHEL2","Please help me.","Lütfen bana yardım et."
"traveler:BROTHEL3","Hello friend.","Selam dostum."
"traveler:BROTHEL3","You come down, I give you good girl.","Bir ara uğra, güzel kızlar var."
"traveler:BROTHEL3","That little bitch.","Küçük orospu."
"traveler:BROTHEL3","I break her in two.","Bacaklarından ikiye ayıracağım."
"traveler:BROTHEL3","@You are Dari Ludum?","@Sen Dari Ludum musun?"
"traveler:BROTHEL3","Of course, it says on passport.","Pasaportta da yazdığı gibi, evet."
"traveler:BROTHEL3","@One moment.","@Bir dakika."
"traveler:BROTHEL3","What is this shit?","Ne oluyor?"
"traveler:BROTHEL3","Give my papers back.","Evraklarımı geri ver."
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@Sen Vince Lestrade misin?"
"traveler:KILLERATHLETE","Damn.","Kahretsin."
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","Bak, onu ben öldürmedim. Komplo kuruldu."
"traveler:KILLERATHLETE","Do not believe the Republian lies.","Gazetedeki yalanlara inanma."
"traveler:KILLERATHLETE","Let me through.","Bırak geçeyim."
"traveler:KILLERATHLETE","Shit.","Kahretsin."
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","Bugün güzel bir gün dostum."
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","Sonunda Antegria zulmünden kurtulduk!"
"traveler:HUSBAND_WIFE0","Thank you so much!","Teşekkür ederim!"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","Lütfen eşime iyi davran, sırada benden sonra o var."
"traveler:HUSBAND_WIFE0","No! They will kill us!","Hayır! Bizi öldürürler!"
"traveler:HUSBAND_WIFE0","Please, I beg you.","Ne olur, sana yalvarıyorum."
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","Eşimin geçmesine izin ver. Sırada o var."
"traveler:HUSBAND_WIFE1","Did you see my husband?","Kocamı gördün mü?"
"traveler:HUSBAND_WIFE1","He made it through, yes?","O geçti, değil mi?"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@Giriş izni belgen nerede?"
"traveler:HUSBAND_WIFE1","Please, I beg you.","Yalvarırım, lütfen."
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","Başka şansım yok. Bana izin belgesi vermezler."
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","Antegria'ya dönersem beni öldürürler."
"traveler:HUSBAND_WIFE1","Thank you.","Teşekkür ederim."
"traveler:HUSBAND_WIFE1","We will not forget.","Bunu asla unutmayacağız."
"traveler:HUSBAND_WIFE1","Why?","Neden?"
"traveler:HUSBAND_WIFE1","You have doomed me.","Hayatımı kararttın."
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","Eşimi neden geçirmedin?"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","Onu ölüme terk edemem."
"traveler:HUSBAND_WIFE1","You have doomed us both.","Hayatımızı kararttın."
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","Buraya çok insan geliyor değil mi?"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","Ben mühendis arıyorum."
"traveler:HIRING_ENGINEERS_START","Do me a favor.","Bana bir iyilik yap."
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","Bu kartları buraya gelen mühendislere ver."
"traveler:HIRING_ENGINEERS_START","I come back in few days.","Birkaç gün sonra döneceğim."
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","Beni arayan her mühendis için 5 kredi vereceğim."
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","Bir hata yaptın ama telafi etmene izin vereceğim."
"traveler:HIRING_ENGINEERS","What is this?","Bu da ne?"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","Oh. Peki. ; Tamam. ; Eleman mı arıyorlar?"
"traveler:HIRING_ENGINEERS","I have already.","Zaten verdin."
"traveler:HIRING_ENGINEERS","Stop giving to me.","Yeter artık başka verme."
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","Peki, istemiyorum. Hepsi senin olsun."
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","Güzel kart, değil mi? ; Teşekkürler ; Pahalıya mal oldular, anlarsın ya. ;"
"traveler:HIRING_ENGINEERS_END","I am back.","Döndüm."
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","Kaç mühendisle karşılaştın?"
"traveler:HIRING_ENGINEERS_END","I got no calls.","Hiç arayan olmadı."
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","Kartları kimseye vermemişsin."
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Sağol yani hiç işe yaramadın."
"traveler:HIRING_ENGINEERS_END","I get only one call.","Sadece bir kişi aradı."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","Şanslıyım ki iyi biri."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Işte, söz verdiğim gibi."
"traveler:HIRING_ENGINEERS_END","I got two calls.","Iki kişi aradı"
